,Регион,ФО,"Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, % от впервые выявленных","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетом году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетном году, % от впервые выявленных","В том числе с использованием методов только хирургического, %","В том числе с использованием методов только лучевого, %","В том числе с использованием методов только лекарственного, %","В том числе с использованием методов комбинированного или комплексного (кроме химиолучевого), %","В том числе с использованием методов химиолучевого, %",Индикатор,Локализация,Таблица,Тип данных
275,Тульская область,ЦЕНТРАЛЬНЫЙ ФО,4,8.5,4,8.5,25.0,0.0,0.0,0.0,75.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
276,Ярославская область,ЦЕНТРАЛЬНЫЙ ФО,17,25.8,5,7.6,41.2,11.8,0.0,5.9,41.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
277,Ненецкий а.о.,СЕВЕРО-ЗАПАДНЫЙ ФО,0,0.0,1,33.3,0.0,0.0,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
278,Архангельская обл.(б/а.о),СЕВЕРО-ЗАПАДНЫЙ ФО,4,9.1,11,25.0,0.0,25.0,0.0,25.0,50.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
279,Вологодская область,СЕВЕРО-ЗАПАДНЫЙ ФО,16,40.0,3,7.5,0.0,12.5,0.0,37.5,50.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
280,Калининградская область,СЕВЕРО-ЗАПАДНЫЙ ФО,7,30.4,9,39.1,0.0,0.0,0.0,71.4,28.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
281,г. Санкт-Петербург,СЕВЕРО-ЗАПАДНЫЙ ФО,24,17.8,27,20.0,8.3,20.8,0.0,29.2,41.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
282,Ленинградская область,СЕВЕРО-ЗАПАДНЫЙ ФО,31,67.4,7,15.2,58.1,6.5,0.0,29.0,6.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
283,Мурманская область,СЕВЕРО-ЗАПАДНЫЙ ФО,3,7.9,9,23.7,0.0,0.0,0.0,100.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
284,Новгородская область,СЕВЕРО-ЗАПАДНЫЙ ФО,9,21.4,4,9.5,0.0,0.0,0.0,11.1,88.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
285,Псковская область,СЕВЕРО-ЗАПАДНЫЙ ФО,5,15.2,8,24.2,0.0,40.0,0.0,0.0,60.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
286,Республика Карелия,СЕВЕРО-ЗАПАДНЫЙ ФО,3,8.8,17,50.0,0.0,0.0,0.0,66.7,33.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
287,Республика Коми,СЕВЕРО-ЗАПАДНЫЙ ФО,9,27.3,7,21.2,22.2,33.3,0.0,44.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
288,Краснодарский край,ЮЖНЫЙ ФО,36,16.4,24,11.0,5.6,41.7,0.0,16.7,36.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
289,Астраханская область,ЮЖНЫЙ ФО,13,26.0,7,14.0,15.4,23.1,0.0,61.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
